index,Papel,Segmento,Cotação,FFO Yield,Dividend Yield,P/VP,Valor de Mercado,Liquidez,Qtd de imóveis,Preço do m2,Aluguel por m2,Cap Rate,Vacância Média,Endereço
379,WPLZ11,Shoppings,6400,"8,16%","8,31%",73,65.327.800,4.972,1,"1.726,02",15497,"8,98%","11,45%","Av. Francisco Matarazzo s/n, Bloco B, São Paulo, SP"
201,LASC11,Shoppings,10500,"7,16%","7,89%",99,308.731.000,3.856,2,"4.106,45",34437,"8,39%","2,68%","Avenida Visc. de Souza Franco, 776 - Reduto, Belém - PA, 66053-0,Avenida, Dr. Silvio Bastos Tavares, 330 - Parque dos Rodoviários, Campos dos Goytacazes - RJ, 28051-250"
157,HPDP11,Shoppings,7300,"7,81%","7,45%",82,212.343.000,1.725,1,"1.667,33",14178,"8,50%","0,88%","Av. Guilherme Campos 500, Campinas - SP"
326,SHDP11B,Shoppings,"1.210,05","6,92%","7,09%",94,1.776.100.000,0,1,"13.408,80","1.159,86","8,65%","1,30%","Avenida Guilherme Campos 500, 500, Sem Complemento, Jardim Santa Genebra, Campinas/SP, Brasil, 13087-901"
328,SHPH11,Shoppings,65200,"7,05%","6,49%",73,397.035.000,126.878,1,"11.483,00","1.038,59","9,04%","8,92%","Rua Dr. Veiga Filho, 133, Higienópolis, São Paulo - SP"
41,BPML11,Shoppings,5850,"4,65%","4,67%",47,251.847.000,13.853,4,"3.242.490,00","673.199,86","20,76%","5,09%","Av. Maestro Paulo e Silva, 400, Shopping, Rio de Janeiro, RJ, 21920-445,Rua América Deolindo Garla, 224, Shopping, Lodrina, PR, 86079-225,Av. Severino Ballesteros, 850 - Cabral, Contagem - MG, 32110-005,Q. 107, Norte Avenida, NS 5, s/n, Shopping, Palmas, TO, 77001-098"
12,ANCR11B,Shoppings,"3.450,00","9,69%","4,45%",100,1.556.340.000,0,5,"7.823,60",99741,"12,75%","4,42%","Av. Abílio Augusto Távora, 1111 - Luz, Nova Iguaçu - RJ,Conjunto A, T137 - Asa Norte - Distrito Federal - Brasília - DF - Brasil. CEP: 70077-900,Av. Deputado Benedito Matarazzo, 9403 - Jardim Oswaldo Cruz - São José dos Campos - SP,Av. Cristiano Machado, nº 4000, Belo Horizonte/MG,Av. Praia de Botafogo, 400 - Botafogo, Cep: 22250-040 - Rio de Janeiro - RJ - Brasil."
321,SCPF11,Shoppings,525,"5,00%","4,32%",45,22.050.000,3.435,1,"4.527,68",79387,"17,53%","23,16%","Rua Junqueira Ayres, 165 - Barris - Salvador - BA"
90,ELDO11B,Shoppings,"1.104,31","8,97%","3,41%",77,869.375.000,0,1,"11.433,00","1.231,51","10,77%","1,93%","Av. Rebouças, 3970, Pinheiros, São Paulo - SP"
373,VSHO11,Shoppings,6490,"10,48%","11,14%",65,136.212.000,33.981,3,"1.788,72",35292,"19,73%","7,84%","Av. Visconde do Rio Branco, 360 - Centro, Niterói - RJ,Remanso Campineiro, Hortolândia - SP,R. Paiquerê, 200 - Jardim Paiquere, Valinhos - SP"
17,ATSA11,Shoppings,7495,"2,31%","0,47%",92,131.248.000,472,1,"3.831,45",10399,"2,71%","21,35%","Rua Giovanni Battista Pirelli, 155 - Vila Homero Thon - Santo André - SP"
273,RBGS11,Shoppings,2845,"3,30%","0,00%",31,30.669.100,0,1,"1.051,57",5268,"5,01%","11,94%","Avenida Marechal Fontenelle, 3545 - Rio de Janeiro, RJ - CEP 21740-001"
129,GSFI11,Shoppings,510,"0,00%","0,00%",36,383.510.000,42.615,0,000,000,"0,00%","0,00%",
154,HMOC11,Shoppings,22695,"2,17%","0,00%",95,86.698.800,0,0,000,000,"3,27%","0,00%","Rua Manoel da Nobrega, 712, Centro, Diadema - SP"
132,GWIR11,Shoppings,17599,"2,80%","0,00%",74,67.231.200,0,0,000,000,"4,21%","0,00%","Rua Manoel da Nobrega, 712, Centro, Diadema - SP"
