index,Papel,Segmento,Cotação,FFO Yield,Dividend Yield,P/VP,Valor de Mercado,Liquidez,Qtd de imóveis,Preço do m2,Aluguel por m2,Cap Rate,Vacância Média,Endereço
77,CXTL11,Logística,39000,"1,54%","38,38%",82,20.902.800,6.521,1,"2.443,91",31159,"12,75%","0,00%","Rua Projetada A, 240, Distrito Industrial - Duque de Caxias/RJ"
246,OULG11,Logística,3817,"2,69%","3,98%",57,94.710.600,61.787,2,"1.037,27",8603,"8,29%","0,00%","Lote nº 21 - Distrito Industrial - Bairro Benfica - Juiz de Fora/MG,Rod. Washington Luiz, km 114, Via Projetada Aterial PD04, nº 3777"
254,PLOG11,Logística,7062,"19,27%","12,65%",66,52.965.000,66.402,1,72365,16546,"22,86%","0,00%","Rodovia PE-060  Km 14,5  Ipojuca, Pernambuco"
358,VCRR11,Logística,6864,"12,35%","11,60%",54,137.280.000,165.661,4,"2.219,68",12502,"5,63%","0,00%","Rua Loefgreen, 2527 - Vila Clementino/SP,Rua Gregório Serrão, 232 - Vila Mariana/SP,Rua Carlos Petit, 215 - Vila Mariana/SP,Prof Ascendido Reis, 1300 - Vila Clementino/SP"
249,PATL11,Logística,6193,"10,78%","11,18%",63,309.126.000,731.257,4,"1.983,92",26135,"13,17%","0,00%","Av. Nossa Senhora Auxiliadora, 831, Jundiaí - SP, CEP: 13214-855,Av. José Carlos Costa, 688  Ribeirão das Neves, MG,Av. Nossa Senhora Auxiliadora, 901, Jundiaí - SP, CEP: 13214-855,Av. Industrial Alda Mendes Bernardes, 1881  Itatiaia, RJ"
375,VTLT11,Logística,9020,"11,38%","11,05%",90,190.773.000,201.881,1,74388,9570,"12,87%","0,00%","Avenida Prefeito Domingos Mocelin Neto s/n, Borda do Campo, Quatro Barras, PR "
278,RBLG11,Logística,9321,"12,20%","10,80%",94,59.672.900,67.515,1,33736,3381,"10,02%","0,00%","Km 11, 3010, Zona De Expansão Urbana, Parauapebas-pa, Rodovia Pa-275, Parauapebas/PA, Brasil, 68515-000"
127,GGRC11,Logística,10455,"9,44%","10,75%",84,850.422.000,1.636.350,16,"1.082,79",11194,"10,34%","0,00%","Rua Maria Rufino dos Santos Medeiros, 201 Distrito Industrial - João Pessoa - PB,Guabirova, Pelotas - RS,LOTE C123,Rodovia Palmiro Paes de Barros, 290, Vista Alegre  Cuiabá - MT,Alameda das Aroreiras, nº 195, Casa Amarela, Betim - MG,Rua dos Portugueses,Rua Álvaro Camerin, nº 51, Distrito Industrial  Tietê - SP,Acesso pelo KM 117,5 Rodovia BR 101, Itajaí - SC,Avenida CTR Empresarial, KM 1.480 BR 497, Uberlândia-MG,Rodovia Federal BR 277, S/N KM 600+400, São Miguel do Iguaçu - PR,BR 153, nº 3469, Zona Urbana, Anápolis - GO,Rodovia BR 153, s/n, quadra AREA, lote 00C, anexo A, Jd. Paraíso I, Aparecida de Goiânia - GO,Avenida Amâncio Gaiolli, 1943 - Guarulhos - SP,Rua Antonio Felamingo, lote 6, quadra A - bairro Macuco, Valinhos-SP,Av. Maria Luiza Pompeo de Camargo, 333,Loteamento Polo Empresarial VTO Igarassu 1 - Igarassu - PE"
161,HSLG11,Logística,7730,"8,83%","10,46%",74,978.623.000,634.690,5,"2.007,82",19344,"9,63%","0,38%","Rodovia Coronel PM Nelson Tranchesi, números 740 e 990, no município de Itapevi, Estado de São Paulo,Rod. BR 116 (Contorno Leste), nº 7000, no município de São José dos Pinhais, Estado do Paraná,,Avenida Comendador Masatoshi Shinmyo, nº 300, no município de Arujá, estado de São Paulo,Avenida Torquato Tapajós, 5709 - Novo Israel, Manaus - AM,Rodovia Municipal Vereador Joaquim Costa, nº 2000, no município de Contagem, Estado de Minas Gerais"
283,RBRL11,Logística,7470,"9,30%","10,31%",70,499.522.000,525.000,5,"1.646,72",19539,"11,87%","0,00%","Estrada Municipal Luiz Lopes Neto, nº 21, Bairro dos Tenentes - Extrema/MG,Estrada Municipal Vargem do João Pinto nº 450, Gleba 1 - Extrema/MG,Rod. Presidente Tancredo Neves, km45,Condomínio Tech Town, unid nº7, Rodovia SP 101, Hortolândia, Comarca de Sumaré/SP,Est Carlos Roberto Prataviera, nº 650, Hortolândia, Comarca de Sumaré/SP"
322,SDIL11,Logística,9090,"9,74%","10,29%",93,581.310.000,740.880,6,"1.642,68",22175,"13,50%","0,17%","Avenida Ol 03, 200 - Duque de Caxias - RJ,Rua Prof. João Cavalheiro Salem, 1.289 Bonsucesso, Guarulhos/SP,Rodovia Índio Tibiriçá, nº 6.000,Avenida Ol 03, 200 - Duque de Caxias - RJ,BR 040, KM 23 - Contagem/MG"
149,HGLG11,Logística,16040,"6,89%","10,17%",105,3.762.450.000,4.773.570,19,"3.112,18",22432,"7,21%","6,75%","Estrada Municipal José Geraldo Aparecido e Rua Josepha Gomes de Souza, Extrema, MG,Estrada do Pedregoso, 900, Freguesia de Campo Grande, RJ,Avenida Parque B, 347, Betim, MG,Rodovia SP 101, Km 9,5, Hortolândia , SP,Avenida das Indústrias, s/n, CPI 5000, Vinhedo, SP,Rodovia Anhanguera, 317.5, Ribeirão Preto - SP,Estrada Joaquim Bueno Neto, 9835, Itupeva, SP,Rodovia BR 101, 5225, Cabo de Santo Agostinho, PE,Rua da Harmonia  Parque Industrial de Betim, Betim - MG,Rodovia BR-381, s/n, km 483, Pista Norte, Jardim Piemonte, Betim, MG,Avenida SN 1, 280, Parque Duque, Duque de Caxias - RJ,Avenida Brasil, 3.464, Rio Claro, SP,Rua Atílio Biscuola, 1831, Louveira , SP,Rua Antônio Utrilla, 349, Guarulhos, SP,Rua Iguaçu, 291/383, Blumenau, SC,Rua Ambrósio Molina, 1090/1100, São José dos Campos, SP,Av. Guido Caloi, 1.935, São Paulo, SP,Rodovia Eng. Thales de Lorena Peixoto Júnio, Km 9.5, São Carlos, SP,Rua Tobias Bueno de Oliveira, 701, Monte Mor, SP"
141,HDEL11,Logística,10417,"1,97%","1,84%",123,4.373.370,248,0,000,000,"0,00%","0,00%",
128,GRLV11,Logística,14550,"5,72%","0,00%",2438,156.199.000,0,1,000,18300,"0,00%","3,69%","Rua Atílio Biscuola, 1831 - Louveira - SP"
250,PDDA11B,Logística,10650,"0,96%","0,00%",158,264.257.000,0,2,"2.894,13",8603,"2,97%","0,00%","Lote nº 21 - Distrito Industrial - Bairro Benfica - Juiz de Fora/MG,Rod. Washington Luiz, km 114, Via Projetada Aterial PD04, nº 3777"
