Papel,Segmento,Cotação,FFO Yield,Dividend Yield,P/VP,Valor de Mercado,Liquidez,Qtd de imóveis,Preço do m2,Aluguel por m2,Cap Rate,Vacância Média,Endereço
CXAG11,Outros,7639,"10,53%","11,07%",67,159.703.000,109.221,32,"2.769,94",32572,"11,76%","0,00%","R. 7 DE SETEMBRO 1231, CACHOEIRA DO SUL - RS,R DR SANTOS, 103, MONTES CLAROS - MG,R JOSE ALBERTO PELUCIO, 63, BAEPENDI - MG,R CARVALHO DE SOUSA, 283, RIO DE JANEIRO - RJ,R DR LUCIO MALTA, 585, JACAREÍ - SP,R GAL BENTO MARTINS, 2926, URUGUAIANA - RS,R JACARANDA, 499, IPATINGA - MG,R JULIO DE CASTILHOS, 189, SANTA CRUZ DO SUL - RS,AV CESARIO DE MELO, 3166, RIO DE JANEIRO - RJ,R SAO JOSE, 667, PIRACICABA - SP,AV PARAGUASSU, 1725, CAPÃO DA CANOA - RS,R JULIO DE CASTILHOS, 915, OSÓRIO - RS,AV BRIG.LUIS ANTONIO, 900, SÃO PAULO - SP,R DR SIQUEIRA, 342, MAGÉ - RJ,AV TIRADENTES, 387, ARAGUARI - MG,R JULIO DE CASTILHOS, 1029, LAJEADO - RS,AV NOSSA SENHORA DE COPACABANA, 427, RIO DE JANEIRO - RJ,AV PEDRO II, 244, SÃO LOURENÇO - MG,PC GIOVANI BREDA, 1916, SÃO BERNARDO DO CAMPO - SP,R VER. MARINHO HEMETERIO OLIVEIRA, 80, QUEIMADOS - RJ,R CEL. HORACIO ALVES PEREIRA, 225, ELÓI MENDES - MG,R QUINZE DE NOVEMBRO, 570, PELOTAS - RS,AV OSVALDO ARANHA, 1316, PORTO ALEGRE - RS,AV BARAO DO RIO BRANCO, 2340, JUIZ DE FORA - MG,PC APRIGIO DE TOLEDO, 16, ATIBAIA - SP,AV RUI BARBOSA, 790, MACAÉ - RJ,AV DANIEL JARDIM DE GRISOLIA, 117, ITABIRA - MG,R CEL FALKENBACH, 951, SOLEDADE - RS,AV TERESOPOLIS, 3235, PORTO ALEGRE - RS,R MIGUEL PRISCO, 40, RIBEIRÃO PIRES - SP,R COMERCIO, 660, FREDERICO WESTPHALEN - RS,AV DOM HELDER CAMARA, 5.809, RIO DE JANEIRO - RJ"
CXCE11B,Lajes Corporativas,3998,"11,79%","11,43%",61,68.483.700,15.485,1,"3.239,55",42465,"13,11%","0,00%","Av Presidente Vargas, 2655, Centro, Rio de Janeiro - RJ"
CXCI11,Títulos e Val. Mob.,7610,"2,74%","10,48%",84,156.593.000,97.489,0,000,000,"0,00%","0,00%",
CXCO11,Lajes Corporativas,6941,"12,60%","12,34%",70,272.400.000,156.074,10,"2.926,95",39152,"13,38%","0,00%","Rua Pouso Alegre, nº2.342, CEP 31010-514, Belo Horizonte, MG,Rua José Loureiro, nº195, CEP 80010-000, Curitiba, PR,Rua Barão de Melgaço, nº 3465, CEP 78005-300, Cuiabá, MT,Rua Bento Gonçalves, nº2463, CEP 93510-365, Novo Hamburgo, RS,Av Brasil, nº6.266, CEP 85810-000, Cascavel, PR,Rua 7 de setembro, nº1314, CEP 89010-204, BLUMENAU, SC,Rua dos Andradas, nº1000, CEP 90020-007, Porto Alegre, RS,Av Julio de Castilhos, nº1358, CEP 95010-000, Caxias do Sul, RS,Setor Bancario Sul, Quadra 1 Bloco L, PJ, nº28, CEP 70070-927, Brasília, DF,Av do contorno, nº8256, CEP 30170-050, Belo Horizonte, MG"
CXRI11,Títulos e Val. Mob.,6135,"11,33%","10,76%",76,96.672.900,15.590,0,000,000,"0,00%","0,00%",
CXTL11,Logística,39000,"1,54%","38,38%",82,20.902.800,6.521,1,"2.443,91",31159,"12,75%","0,00%","Rua Projetada A, 240, Distrito Industrial - Duque de Caxias/RJ"
DCRA11,Títulos e Val. Mob.,920,"8,60%","14,90%",96,62.177.500,231.098,0,000,000,"0,00%","0,00%",
DEVA11,Títulos e Val. Mob.,8690,"9,39%","15,10%",86,1.220.500.000,2.560.620,0,000,000,"0,00%","0,00%",
DRIT11B,Lajes Corporativas,8600,"8,79%","8,45%",65,39.841.800,281,6,"7.960,36",87455,"10,99%","7,79%","RUA JAMES JOULE, 65, SÃO PAULO - SP,AV DAS NAÇÕES UNIDAS, 19707, SÃO PAULO - SP,AV BRIGADEIRO FARIA LIMA, 1306, SÃO PAULO - SP,RUA DO RÓCIO, 350, SÃO PAULO - SP,ALAMEDA SANTOS, 787, SÃO PAULO - SP,RUA RAMOS BATISTA, 198, SÃO PAULO - SP"
DVFF11,Híbrido,6937,"6,02%","10,70%",79,76.372.900,22.780,0,000,000,"0,00%","0,00%",
EDGA11,Lajes Corporativas,2001,"8,12%","7,87%",33,76.279.200,29.552,1,"3.030,55",41999,"13,86%","42,64%","Rua Da Quitanda, 86, Sem Complemento, Centro, Rio De Janeiro/RJ, Brasil, 00020-091"
ELDO11B,Shoppings,"1.104,31","8,97%","3,41%",77,869.375.000,0,1,"11.433,00","1.231,51","10,77%","1,93%","Av. Rebouças, 3970, Pinheiros, São Paulo - SP"
EQIR11,Títulos e Val. Mob.,900,"12,38%","14,55%",93,45.225.000,39.015,0,000,000,"0,00%","0,00%",
ERPA11,Lajes Corporativas,12396,"3,67%","4,73%",90,62.094.300,14.254,1,"18.390,10","1.032,54","5,61%","0,00%","Avenida Europa, 105 - Jardim Paulista"
EURO11,Logística,23747,"9,51%","9,11%",73,91.173.300,79.354,7,77064,8045,"10,44%","0,00%","Rua Comandante Vergueiro da Cruz, 206,Rodovia Anhanguera , S/N KM 17,5,Av. Interlagos, 4455,Rodovia Anhanguera, s/n km 17,5,Av. Interlagos, 4.455,Rua Sargento Aquino, 136,Rua Sargento Aquino, 135/Rua Comandante Vergueiro da Cruz, 206"
EVBI11,Híbrido,9389,"8,09%","9,49%",94,157.104.000,25.041,8,"4.910,55",33437,"6,81%","0,00%","RUA PROFESSOR LUCAS GARZES, 2435, SÃO PAULO/ SP,Avenida das Américas nº 6205 - Rio de Janeiro, - RJ,Rua Augusto Tolle,Rua Pompeu Vairo, 200/300, São Paulo/SP,Rua Joaquim Nabuco, 374,Av. São Camilo,RUA PROFESSOR LUCAS GARZES, 2401, SÃO PAULO/ SP,Rua Tito, nº 671 - Bairro Vila Romana - São Paulo - SP"
FAED11,Outros,14800,"12,10%","12,20%",68,95.040.900,51.685,3,"2.500,45",32084,"12,83%","0,00%","Rua Waldemar Silenci, 340, Sem Complemento, Cidade Jardim, Leme/SP, Brasil, 13614-370,Rodovia Regis Bittencourt, 199, Sem Complemento, Centro, Taboão Da Serra/SP, Brasil, 06768-000,Alameda Maria Tereza, 2000, Dois Córregos, Dois Córregos, Valinhos/SP, Brasil, 13278-181"
FAMB11B,Lajes Corporativas,71201,"-16,19%","0,00%",24,74.618.600,12.780,1,"1.230,13",000,"0,00%","100,00%","Avenida Almirante Barroso, 174, 1º Subsolo Até 31º Andar, Centro, Rio De Janeiro/RJ, Brasil, 20031-004"
FATN11,Híbrido,9490,"8,87%","10,59%",95,115.320.000,115.783,29,"22.743,30","1.793,04","7,88%","0,00%","Rua Funchal, 573,Rua Tabapuã, 500,Rua Gomes de Carvalho, 1108,Rua do Rócio, 351,Avenida Engenheiro Luís Carlos Berrini, 105,Rua Gomes de Carvalho, 1306,Av. Paulista, 2022,Rua Helena. 235,Av. das Nações Unidas, 11857,Rua Funchal, 513,Rua Tabapuã, 627,Rua Iaiá, 150,Av. Luiz Carlos Berrini, 1461,Rua Sansão Alves dos Santos, 76,AL. Campinas, 457,Rua Fidêncio Ramos, 100,Rua Pequetita, 215,Avenida Doutor Cardoso de Melo, 1340,Rua Arizona, 1366,Av. Dr. Cardoso de Melo, 1608,Rua Doutor Renato Paes de Barros, 717,Rua Dr. Cardoso de Melo, 1855 ,Av. Paulista, 2022,Avenida Brigadeiro Faria Lima, 1234,Avenida Presidente Juscelino Kubitschek, 1726,Avenida Paulista, 925,Rua Gomes de Carvalho, 1329,Rua do Rócio, 220,Rua Funchal, 129"
FCFL11,Outros,10900,"9,09%","8,95%",94,378.667.000,255.556,1,"12.203,10","1.182,61","9,69%","0,00%","Rua Quata, 300, Sem Complemento, Vila Olímpia, São Paulo/SP, Brasil, 04546-042"
FFCI11,Lajes Corporativas,18203,"2,32%","0,00%",87,671.817.000,0,9,"16.359,50",97104,"5,94%","22,84%","Rua da Candelária nº 65, Centro, Rio de Janeiro/RJ,Avenida Paulista, 37, São Paulo/SP,Rua Surubim, 373, Brooklin Novo, São Paulo/SP,Alameda Santos, 1.800 - Jardins,Alameda Santos, 1163, Cerqueira César, São Paulo/SP,Praia do Flamengo nº 154, Flamengo, Rio de Janeiro/RJ,Rua Olimpiadas. 205, São Paulo SP,Av. Juscelino Kubitschek, 510, Itaim Bibi, São Paulo/SP,Rua Girassol, 555  Vila Madalena"
FIGS11,Shoppings,4599,"10,35%","9,90%",60,131.072.000,125.989,2,"2.009,22",22056,"10,98%","11,12%","Av. Juscelino Kubitscheck de Oliveira, 5.308, Guarulhos - SP,Av. Bartolomeu de Castro, 230, Guarulhos - SP"
FIIB11,Híbrido,43999,"9,83%","9,46%",96,301.393.000,242.850,11,54367,5933,"10,91%","1,00%","R. D. Nelson N. Guimareaes, nº - Bairro Gloria - Joinville - SC,R. Silva Jardim, nº 0 - Bairro Atiradores-Joinville-SC,R. Alemanha, nº 0 - Bairro Gloria Joinville - SC,Rua Dona Francisca, 8.300 Distrito Industrial -.Joinville - SC,R. D. Nelson N. Guimareaes, nº - Bairro Gloria - Joinville - SC,R. Sd 40187, nº 0 - Bairro Gloria - Joinville - SC,R. Silva Jardim, nº 0 - Bairro Gloria-Joinville-SC,Rua Dr. Nelson N Guimarães, S/N - Bairro Gloria - Joinville - SC,R. Sd 40187, nº 0 - Bairro Gloria - Joinville - SC,R. Otto Berner, nº 0 - Baiiro Gloria-Joinville-SC.,R. D. Francisca, 8300 - Dist. Indl - Joinville -SC"
FIIP11B,Híbrido,14001,"11,73%","11,28%",75,129.812.000,69.684,7,"1.840,44",24769,"13,46%","0,00%","AVENIDA GENERAL DAVID -SARNOFF, Nº 4.840 - CONTAGEM  MG,RUA DR. MELLO FREIRE S/N - SÃO PAULO  SP,RUA ALFREDO PINTO Nº 91 - SÃO JOSÉ DOS PINHAIS  PR,RUA JOÃO FURLAN, S/Nº - OSASCO  SP,AV. RONAT WALTER SODRE, Nº 2.800 - IBIPORÃ - PR,AVENIDA NILO PEÇANHA Nº 296, ESQUINA COM A VIA LIGHT - NOVA IGUAÇU  RJ,RUA A , QUADRA D LOTES 11, 12 E 13 - ILHÉUS  BA"
FLCR11,Títulos e Val. Mob.,9585,"16,31%","14,71%",98,60.730.900,42.832,0,000,000,"0,00%","0,00%",
FLMA11,Híbrido,12300,"8,59%","8,31%",77,169.822.000,51.496,2,"9.644,19",91183,"9,45%","0,00%","Rua Tabapuã, 500,RUA DAS OLIMPIADAS, 205"
FLRP11,Shoppings,"1.605,00","8,08%","8,56%",88,104.697.000,9.562,1,"2.127,22",18240,"8,57%","1,33%","Rodovia Virgílio Várzea, 587 - Saco Grande II - Monte Verde - Florianópolis"
FMOF11,Lajes Corporativas,5500,"0,85%","0,81%",46,27.940.400,187,2,"1.654,58",15546,"9,40%","37,84%","Rua Júlio Gonzales, 132,Rua Julio Gonzales, 132"
FPAB11,Lajes Corporativas,13837,"14,33%","13,81%",37,103.778.000,16.896,2,"2.257,63",45296,"20,06%","29,24%","Avenida Francisco Matarazzo, 1500 ,Avenida Francisco Matarazzo, 1.500"
FPNG11,Lajes Corporativas,6862,"12,01%","11,68%",40,70.153.200,36,7,"7.733,85","1.096,02","14,17%","23,11%","Rua Tabapuã, 500,Rua Antonio de Albuquerque, 195 - Belo Horizonte MG,Rua Amazonas, 4338 - Belo Horizonte MG,Rua Paraiba, 550 25º and. Belo Horizonte MG,Rua Levindo Lopes, 258 Belo Horizonte MG,Rua Gonçalves da Guia, 8 - Itauna -MG,Rua Maria Luiza Santiago, 200 - Belo Horizonte MG"
FVBI11,Lajes Corporativas,15971,"0,00%","0,00%",0,0,0,1,000,63695,"0,00%","0,00%","Av. Brig. Faria Lima 4400, São Paulo, SP, 04551-060"
FVPQ11,Shoppings,9775,"9,89%","8,79%",51,273.715.000,49.258,1,"4.763,00",87380,"18,35%","4,40%","Av. Ayrton Senna, 3000, Barra da Tijuca, Rio de Janeiro - RJ"
GALG11,Híbrido,839,"11,52%","10,52%",90,482.302.000,400.081,5,"4.612,42",48885,"10,60%","0,00%","ESTRADA MUNICIPAL DO CAJURU, 655, São José dos Campos/SP,RODOVIA BR - 324, 13.750, SALVADOR/BA,RODOVIA PE 50, S/Nº, KM 02, Vitória de Santo Antão/PE,AV. FREDERICO AUGUSTO RITTER, 8.000, CACHOEIRINHA//RS,RUA DAVID CANABARRO S/Nº, Canoas/RS"
GAME11,Outros,877,"8,49%","14,59%",90,190.290.000,95.129,0,000,000,"0,00%","0,00%",
GCFF11,Títulos e Val. Mob.,6850,"13,18%","16,51%",86,23.194.000,24.527,0,000,000,"0,00%","0,00%",
GCRA11,Títulos e Val. Mob.,9480,"6,52%","16,30%",97,165.982.000,271.323,0,000,000,"0,00%","0,00%",
GCRI11,Títulos e Val. Mob.,9029,"12,64%","16,60%",96,107.516.000,125.417,0,000,000,"0,00%","0,00%",
GESE11B,Outros,"1.520,00","11,24%","11,26%",86,79.040.000,0,1,"6.178,75",72101,"11,67%","0,00%","Rua General Severiano, 159, Botafogo, Rio de Janeiro - RJ"
GGRC11,Logística,10455,"9,44%","10,75%",84,850.422.000,1.636.350,16,"1.082,79",11194,"10,34%","0,00%","Rua Maria Rufino dos Santos Medeiros, 201 Distrito Industrial - João Pessoa - PB,Guabirova, Pelotas - RS,LOTE C123,Rodovia Palmiro Paes de Barros, 290, Vista Alegre  Cuiabá - MT,Alameda das Aroreiras, nº 195, Casa Amarela, Betim - MG,Rua dos Portugueses,Rua Álvaro Camerin, nº 51, Distrito Industrial  Tietê - SP,Acesso pelo KM 117,5 Rodovia BR 101, Itajaí - SC,Avenida CTR Empresarial, KM 1.480 BR 497, Uberlândia-MG,Rodovia Federal BR 277, S/N KM 600+400, São Miguel do Iguaçu - PR,BR 153, nº 3469, Zona Urbana, Anápolis - GO,Rodovia BR 153, s/n, quadra AREA, lote 00C, anexo A, Jd. Paraíso I, Aparecida de Goiânia - GO,Avenida Amâncio Gaiolli, 1943 - Guarulhos - SP,Rua Antonio Felamingo, lote 6, quadra A - bairro Macuco, Valinhos-SP,Av. Maria Luiza Pompeo de Camargo, 333,Loteamento Polo Empresarial VTO Igarassu 1 - Igarassu - PE"
GSFI11,Shoppings,510,"0,00%","0,00%",36,383.510.000,42.615,0,000,000,"0,00%","0,00%",
GTWR11,Lajes Corporativas,7440,"12,32%","12,01%",79,892.800.000,674.071,3,"9.923,20","1.308,64","13,19%","0,00%","Setor de Autarquias Norte - Quadra 5 - Lote B - Brasilia / DF,Setor de Autarquias Norte - Quadra 5 - Lote B - Brasilia / DF,Setor de Autarquias Norte - Quadra 5 - Lote B - Brasilia / DF"
GWIR11,Shoppings,17599,"2,80%","0,00%",74,67.231.200,0,0,000,000,"4,21%","0,00%","Rua Manoel da Nobrega, 712, Centro, Diadema - SP"
HAAA11,Lajes Corporativas,6500,"10,55%","9,89%",73,224.575.000,1.917,2,"15.435,10","1.619,33","10,49%","16,93%","Avenida das Nações Unidas, nº 14.261  São Paulo, SP,Av. Engenheiro Luis Carlos Berrini, nº 105 - São Paulo, SP"
HABT11,Títulos e Val. Mob.,8784,"7,90%","15,56%",88,713.857.000,1.509.390,0,000,000,"0,00%","0,00%",
HBRH11,Híbrido,9209,"9,02%","8,48%",81,255.292.000,36.390,5,"8.459,79",83426,"9,86%","2,83%"," Rua Pequetita, 111, Cidade de São Paulo/SP, Av. Ayrton Senna, 2.500, Barra da Tijuca, na Cidade do Rio de Janeiro/RJ, Av. Domingos Odália Filho, 301, Cidade de Osasco/SP,Avenida Armando Lombardi, 400 Rio de Janeiro - RJ, Avenida Pereira Barreto nº 1.479, São Bernardo do Campo/SP"
HCHG11,Outros,8135,"6,47%","13,79%",80,97.620.000,18.223,0,000,000,"0,00%","0,00%",
HCRI11,Hospital,23899,"8,35%","8,22%",78,47.798.000,42.250,1,"8.671,90","1.178,82","13,59%","0,00%","Rua Das Perobas, 344, Vila Parque Jabaquara, São Paulo/SP, Brasil, 04321-120"
HCTR11,Títulos e Val. Mob.,8720,"10,84%","17,62%",72,1.925.740.000,4.939.830,0,000,000,"0,00%","0,00%",
HFOF11,Títulos e Val. Mob.,6500,"11,63%","11,25%",82,1.495.780.000,1.590.270,0,000,000,"0,00%","0,00%",
HGBS11,Shoppings,17878,"9,05%","8,83%",81,1.787.800.000,1.737.400,12,"3.501,57",31991,"9,14%","4,77%","Av. Francisco Matarazzo s/n, Bloco B, São Paulo - SP,R Dr. João Ribeiro, 304 - Penha de França, São Paulo - SP,Rua Cap. Pacheco e Chaves, 313 - Mooca, São Paulo - SP,Av. Rio Negro, 1.100, Franca - SP,Rua Sete de Setembro, 555 , Suzano - SP,Rua Manoel da Nobrega, 712, Centro, Diadema - SP,Rua Conselheiro Moreira de Barros, 2.780, São Paulo - SP,Av. José Monteiro Figueiredo, 500 - Duque de Caxias, Cuiabá - MT,Av. Santa Barbara, 777 - Vila Mollon IV, Santa Bárbara D Oeste - SP,Av. das Nações Unidas, 4777, São Paulo - SP,Av. Rotary, 624 - Centro, São Bernardo do Campo - SP,BR-116, 236 - Rio Branco, Novo Hamburgo - RS"
HGFF11,Títulos e Val. Mob.,6881,"11,70%","11,06%",81,197.044.000,537.673,0,000,000,"0,00%","0,00%",
HGIC11,Títulos e Val. Mob.,10000,"4,21%","12,20%",87,46.270.700,15.408,0,000,000,"0,00%","0,00%",
HGJH11,Lajes Corporativas,19129,"8,87%","0,00%",64,335.342.000,0,2,"26.470,10","2.561,57","9,68%","0,00%","Rua Amauri, 255 - São Paulo - SP,Rua Jerônimo da Veiga, 384 - São Paulo - SP"
HGPO11,Lajes Corporativas,24674,"6,87%","7,29%",82,432.549.000,470.518,2,"34.143,10","2.561,57","7,50%","0,00%","Rua Jerônimo da Veiga, 384 - São Paulo - SP,Rua Amauri, 255 - São Paulo - SP"
HGRE11,Lajes Corporativas,10987,"6,20%","8,67%",70,1.298.420.000,2.265.780,19,"6.556,24",54081,"8,25%","21,89%","Rua Antônio das Chagas, 1.657 - São Paulo - SP,Avenida Braz Leme, 1.000 - São Paulo - SP,Rua José Lari e Rua Pedro Mari, Lotes 13 a 23 - Taboão da Serra - SP,Alameda Campinas, 1.070 - São Paulo - SP,Av Dr Chucri Zaidan, 2460 - São Paulo - SP,Rodovia Dom Pedro I, Km 69 - Atibaia - SP,Avenida Eng. Carlos Berrini, 105 - São Paulo - SP,Rua Verbo Divino, 1.488 - São Paulo - SP,Rua Martiniano de Carvalho, 851 - São Paulo - SP,Rua Flórida, 1.595 - São Paulo - SP,Avenida Brigadeiro Faria Lima, 1.355 - São Paulo - SP,Av. Dolores Alcaraz Caldas, 90 - Porto Alegre - RS,Av. Presidente Vargas, 3.131 - Rio de Janeiro - RJ,Rua Francisco Nunes, 1.395 - Curitiba - PR,Rua Lauro Muller, 116 - Rio de Janeiro - RJ,Rua Alegria, 86 - São Paulo - SP,Avenida Marcos Penteado Ulhôa Rodrigues, 939 - Barueri - SP,Avenida das Nações Unidas, 11.633 - São Paulo - SP,Av. Maria Coelho Aguiar, 215 - São Paulo - SP"
HGRU11,Híbrido,11570,"8,28%","9,79%",94,2.129.630.000,3.551.380,73,"4.236,14",39043,"9,22%","0,00%","Rod. Raposo Tavares, 23.033, Granja Viana, SP,Rua Marechal Deodoro, 2785, Ferrazópolis, SP,Av. Bandeirantes, 892, Bandeirantes, PR,R. Dr. Pinheiro, 294/312, Itapeva, SP,R. Xv De Novembro, 0352, Paranaguá, PR,Estrada do Ribeira, 144, Atuba, PR,Rod. Melo Peixoto, 1314 - BR 369 - Km.159, Pq.Maracanã, Cambé, PR,R. Treze De Maio, 0186, Amparo, SP,Av. Condessa D Vimieiros, 17, Itanhaém, SP,Praça Rui Barbosa, 157, Olímpia, SP,R. Dr. Ataliba Leonel, 671, Taquarituba, SP,Av. Coronel Cacildo Arantes, 50, Parque Hiléia, Uberaba, MG,Av. Moisés Lupion, 610, Goioerê, PR,R. São Luiz, 693, Marília, SP,Rod. BR 230 - Km. 27, s/nº , Esplanada, João Pessoa, PB,Rua Sete de Setembro, 608 e 617, Piraju, SP,R. Vinte E Um De Abril, 162, Lins, SP,R. General Osório, 323, Ribeirão Preto, SP,Av. Paraná, 4195, Conjunto A, Foz do Iguaçu, PR,Av. Armando Lombardi, 940, Barra da Tijuca, RJ,Praça Attilio De Almeida Barbosa, 1156, Campo Largo, PR,Av. Dr. Soares De Oliveira, 280 e 272, 282 e 284 e Rua Dr. Getúlio Vargas, 305, Ituverava, SP,R. Governador Pedro De Toledo, 1162, Piracicaba, SP,Av. Professor Francisco Morato, 2585, Butantã, SP,Av. Angélica, 2563, Bela Vista, SP,R. Um De Março, 129, Barra Bonita, SP,R. José Bonifácio, 48, Itapira, SP,R. Presidente Antonio Carlos, 160, Passos, MG,Rod. Curitiba Ponta Grossa, km 65, Barigui, PR,Rua Miguel Petroni, 5.170, D.F. Embare Cabeceira do Can Can, São Carlos, SP,R. Dr. Gabriel Rib. Dos Santos, 40, Apiaí, SP,Ladeira Capitão Moraes, 49, Itapecerica da Serra, SP,R. Antonio Agu, 126/136, Osasco, SP,Praça Da Matriz, 106, Tatuí, SP,Rod. BR 050 Km 73, nº 7085, Fazenda Buriti, Uberlândia, MG,R. Dez, 482, Guaíra, SP,Av. Barão De Mauá, 74, Mauá, SP,Av.Garcia Rodrigues Paes(Acesso Norte),s/n-Área C4, Joquei Clube II, Juiz de Fora, MG,Av. Dr. Jorge Tibiriça, 565, Cruzeiro, SP,Praça Antonio Carlos, 190, Machado, MG,Praça Capitão Vicente Dias, 135, São José Do Rio Pardo, SP,Av. Imperatriz Leopoldina, 550, Vila Leopoldina, São Paulo, SP,Av. Joaquina Ramalho, 340, Vila Guilherme, SP,R. Floriano Peixoto, 575, Capão Bonito, SP,Av. Brasil, 1400, Ivaiporã, PR,R. Assis Figueiredo, 1422, Poços de Caldas, MG,Rua Padre Adelino, 685, Belém, SP,Rua Quatá, 67, Vila Olímpia, São Paulo, SP,R. Vinte, 776, Barretos, SP,Rua Amazonas Ribas, 402 e R. São Pedro, 1213, Itararé, SP,Av. Brasil, 1168, Pereira Barreto, SP,Rod. Dom Pedro I, km 132, Parque Imperador, SP,Av. Jabaquara, 2979, Mirandópolis, SP,R. Rui Barbosa, 0226, Araguari, MG,R. Campos Sales, 703, Itapetininga, SP,Praça Bom Jesus, 154, Palmas, PR,Av. Horácio Klabin, 205 e 215, Telêmaco Borba , PR,Av. Rio Branco, 511, Adamantina, SP,Av. Paraná, Esq. R. D. Pedro Ii, 112, Ibiporã, PR,R. Nove De Julho, 1223, Mirandópolis, SP,Rua Lúcia Viveiros, 4511, Neópolis, Natal, RN,Av. Presidente Roosevelt, 902, Dracena, SP,Av. Rio Grande Do Sul, 671, Marechal Cândido Rondon, PR,Av. Mate Laranjeiras, 496, Guaíra - PR, PR,Rod. Fernão Dias, 3700 - Km 3,5, Riacho Pedras, Contagem, MG,Av. Rui Barbosa, 447, Carapicuíba, SP,R. Bar"
HLOG11,Logística,8367,"9,99%","9,25%",72,355.598.000,41.687,5,"1.745,83",20407,"11,69%","1,26%","Rua Citlog, 333, Bairro Aeroporto, Varginha - MG,Rua Costa Barros, 3089, Vila Prudente, São Paulo - SP,Rodovia Engenheiro Ermínio de Oliveira Penteado, SP-073, Salto - SP,Galpão na Rodovia Miguel Melhado Campos, SP-324, Km 81,5, Itupeva - SP"
HMOC11,Shoppings,22695,"2,17%","0,00%",95,86.698.800,0,0,000,000,"3,27%","0,00%","Rua Manoel da Nobrega, 712, Centro, Diadema - SP"
HOFC11,Lajes Corporativas,2382,"15,18%","11,25%",26,90.015.800,138.457,4,"2.035,68",49597,"24,36%","40,29%","Rua Bela Cintra, 986, São Paulo - SP,Av. Morumbi, 8.234, São Paulo - SP,Alameda Santos, nº 1.039, São Paulo - SP,Av. das Nações Unidas, 17.891, São Paulo - SP"
HOSI11,Híbrido,6215,"8,97%","9,53%",67,35.639.900,417.057,0,000,000,"0,00%","0,00%",
HPDP11,Shoppings,7300,"7,81%","7,45%",82,212.343.000,1.725,1,"1.667,33",14178,"8,50%","0,88%","Av. Guilherme Campos 500, Campinas - SP"
HRDF11,Híbrido,093,"-0,80%","0,00%",75,7.056.030,327,0,000,000,"0,00%","0,00%",
HREC11,Títulos e Val. Mob.,7530,"14,01%","15,67%",85,388.304.000,538.647,0,000,000,"0,00%","0,00%",
HSAF11,Títulos e Val. Mob.,7590,"11,42%","15,58%",83,191.751.000,388.479,0,000,000,"0,00%","0,00%",
HSLG11,Logística,7730,"8,83%","10,46%",74,978.623.000,634.690,5,"2.007,82",19344,"9,63%","0,38%","Rodovia Coronel PM Nelson Tranchesi, números 740 e 990, no município de Itapevi, Estado de São Paulo,Rod. BR 116 (Contorno Leste), nº 7000, no município de São José dos Pinhais, Estado do Paraná,,Avenida Comendador Masatoshi Shinmyo, nº 300, no município de Arujá, estado de São Paulo,Avenida Torquato Tapajós, 5709 - Novo Israel, Manaus - AM,Rodovia Municipal Vereador Joaquim Costa, nº 2000, no município de Contagem, Estado de Minas Gerais"
HSML11,Shoppings,7950,"10,15%","9,94%",82,1.254.560.000,2.213.510,7,"8.255,79",70169,"8,50%","4,20%","Estrada da Floresta, 2320, CEP: 69912900, Floresta Sul, Rio Branco - AC,Avenida Luiz Viana, nº 8544, CEP 41730-101 - Alphaville - Salvador, BA,Av. dos Autonomistas, 1828 - Industrial Autonomistas, Osasco - SP, 06020-010,Av. Menino Marcelo, 3800 - Cidade Universitária, Maceió - AL, 57073-900,Rodovia Raposo Tavares, Km 23, CEP: 06709-015 Lageadinho - Cotia/SP ,Av. Santa Beatriz da Silva, 1501 - São Benedito Uberaba MG,Rua Paranabi, 218-224, CEP: 02307120, Tucuruvi, São Paulo-SP"
