Papel,Segmento,Cotação,FFO Yield,Dividend Yield,P/VP,Valor de Mercado,Liquidez,Qtd de imóveis,Preço do m2,Aluguel por m2,Cap Rate,Vacância Média,Endereço
BBPO11,Lajes Corporativas,8229,"12,47%","13,07%",82,1.310.030.000,1.414.150,63,"3.337,93",46542,"13,94%","0,00%","R. BENTO GONCALVES, 516, PASSO FUNDO-RS,R.XV DE NOVEMBRO,63/67, SOROCABA-SP,AV.BERNARDINO DE CAMPOS,250, SAO PAULO-SP,AV.CONSELHEIRO CARRAO,2411, SAO PAULO-SP,PCA.DAS 4 JORNADAS,11, CAMPOS DOS GOYTACAZES-RJ,ALAMEDA DOS JURUPIS, 1156, SAO PAULO-SP,R.CONDE BONFIM,369-A, RIO DE JANEIRO-RJ,R. JOAQUIM NABUCO, 246, SAO PAULO-SP,RUA HALFELD, 770 / ESQ. RUA MARECHAL DEODORO, 497, JUIZ FORA-MG,R.DR.NELSON D AVILA,149-CENTRO, SAO JOSE DOS CAMPOS-SP,PCA.CARDEAL ARCOVERDE,52, SAO CAETANO DO SUL-SP,R.JULIO CONCEICAO,438, SAO PAULO-SP,PRACA GENERAL VALADAO,377, ARACAJU-SE,R.DUQUE DE CAXIAS,725, RIBEIRAO PRETO-SP,RUA SAO BENTO, 483 / RUA LIBERO BADARO, 582, SAO PAULO-SP,PCA. RUI BARBOSA, 322, ARACATUBA-SP,AV.PRES.KENNEDY,1461, DUQUE DE CAXIAS-RJ,R.PINHEIROS,1492, SAO PAULO-SP,R.DA BAHIA,2500, BELO HORIZONTE-MG,AV.AFONSO PENA,2202, CAMPO GRANDE-MS,RUA XV DE NOVEMBRO, N. 191, SOROCABA-SP,PCA.RUI BARBOSA,1-55/R.ANT. ALVES, 9-38, BAURU-SP,AV.N.SRA.COPACABANA,594, RIO DE JANEIRO-RJ,RUA MARQUES DO HERVAL, 1354, EDIFICO SATELITE, CAXIAS DO SUL-RS,R.ESPIRITO SANTO,571, ESQ. C/ RUA CARIJÓS, 185, BELO HORIZONTE-MG,AV.ERNANI AMARAL PEIXOTO, 347, NITEROI-RJ,RUA 7 DE SETEMBRO, 1209, TOLEDO-PR,R.DR.COSTA AGUIAR,626, CAMPINAS-SP,RUA GUILHERME MOREIRA, 315, MANAUS-AM,R.VOLUNTARIOS DE S.PAULO,2975, SAO JOSE DO RIO PRETO-SP,R. FELINTO MULLER, 2104/PRES.JOSE LINHARES, 50, CUIABA-MT,AV.GOV.PEDRO DE TOLEDO,1099, CAMPINAS-SP,R.BOM PASTOR,153/169, SAO PAULO-SP,R.VOLUNTARIOS DA PATRIA,1769, SAO PAULO-SP,QD. 1, BL.G, LT. 32, BRASILIA-DF,SEPN QUADRA 504 BL B EDIFICIO VIRGO, BRASILIA-DF,PRACA XV DE NOVEMBRO, 321, FLORIANOPOLIS-SC,R.AUGUSTO RIBAS,555, PONTA GROSSA-PR,AV. GOIAS, 980 - QD.14, GOIANIA-GO,AV.SANTOS DUMONT,2889, FORTALEZA-CE,AV.13 DE MAIO,13, RIO DE JANEIRO-RJ,Praça XV de Novembro, 329, FLORIANOPOLIS-SC,AV.PRES.VARGAS,248, BELEM-PA,AV.BARTOLOMEU MITRE 438-A, RIO DE JANEIRO-RJ,R.BARORE,284, SAO PAULO-SP,R.NOSSA SENHORA DA LAPA, 281, SAO PAULO-SP,AV. AFONSO PENA, 745, ESQUINA R. QUINTINO BOCAIUVA, UBERLANDIA-MG,AV.RIO BRANCO,1437, SAO PAULO-SP,AV.DUQUE DE CAXIAS 448, MARINGA-PR,R.TAMOIOS,731/R. GUARANI, 504, BELO HORIZONTE-MG,R.HONORIO SILVEIRA DIAS,1830, PORTO ALEGRE-RS,AV.RANGEL PESTANA,2128, SAO PAULO-SP,AV.GEREMARIO DANTAS,78, RIO DE JANEIRO-RJ,R.PAULO EIRO,471/PRACA FLORIANO PEIXOTO, 254, SAO PAULO-SP,PCA.JOSE BONIFACIO,945, PIRACICABA-SP,AV W-3, Q.7, LT.7,8 E 9, BRASILIA-DF,AV.SANTA MARINA 2618, SAO PAULO-SP,AV.JABAQUARA 424, SAO PAULO-SP,PR.TIRADENTES,410/AL.DR. MURICY,760/R. CANDIDO LOP, CURITIBA-PR,R.DOMINGOS DE MORAES, 438, SAO PAULO-SP,SDN CONJ A LOJA C-03 2 PAVIMENTO, BRASILIA-DF,AV.PENHA DE FRANCA,549, SAO PAULO-SP,R.RIO DE JANEIRO,750, BELO HORIZONTE-MG"
BBRC11,Outros,9339,"12,36%","12,48%",87,148.490.000,97.196,20,"9.238,22","1.448,75","15,68%","0,00%","R. Joaquim Floriano, 666, São Paulo-SP,R. Coronel Quirino, 644, Campinas-SP,Av. Eng. Luis Carlos Berrini, 559, São Paulo-SP,Av. Eng. Heitor Antônio Eiras Garcia, 3963, São Paulo-SP,Av. Santo Amaro, 2163, São Paulo-SP,R. Pires da Mota, 488, São Paulo-SP,Al. Gabriel Monteiro da Silva, 2032, São Paulo-SP,R. Estados Unidos, 1931, São Paulo-SP,Av. Brasil, 418, São Paulo-SP,Av. Maria Servidei Demarchi, 1662, São Bernardo do Campo-SP,Av. Gal. Pedro Pinho, 641, Osasco-SP,R. Guaipá, 1389, São Paulo-SP,R. Marechal Deodoro, 440, São Paulo-SP,Av. Indianópolis, 546, São Paulo-SP,Av. Prof. Francisco Morato, 1214, São Paulo-SP,Av. Portugal, 519, Santo André-SP,Av. São Miguel, 2328, São Paulo-SP,Av. Prof. Francisco Morato, 2004, São Paulo-SP,Av. Paes de Barros, 2621, São Paulo-SP,Av. Amador Bueno da Veiga, 1516, São Paulo-SP"
BBVJ11,Lajes Corporativas,6299,"0,24%","0,00%",96,197.789.000,0,1,"9.380,79",40414,"4,31%","50,78%","Av. Magalhães de Castro, 4.800 - São Paulo/SP"
BCFF11,Títulos e Val. Mob.,6325,"16,37%","10,47%",86,1.593.040.000,2.240.300,0,000,000,"0,00%","0,00%",
BCIA11,Títulos e Val. Mob.,8260,"12,36%","10,71%",85,307.193.000,341.531,0,000,000,"0,00%","0,00%",
BCRI11,Títulos e Val. Mob.,9199,"14,87%","15,19%",92,575.662.000,566.083,0,000,000,"0,00%","0,00%",
BIME11,Híbrido,744,"15,34%","15,72%",83,43.491.300,71.164,2,"1.164,67",000,"0,00%","0,00%","Jamaris - Bairro Moema,Av. Indianópolis, 68"
BLCA11,Lajes Corporativas,11500,"5,70%","5,09%",81,184.000.000,45.548,1,"43.526,00","3.032,21","6,97%","0,00%","Avenida Brigadeiro Faria Lima, 3477, Itaim Bibi, Sao Paulo/SP, Brasil, 04538-133"
BLCP11,Logística,9100,"5,41%","4,42%",81,208.962.000,0,2,"3.014,16",19989,"6,63%","0,00%","Estrada Municipal Thereza Thomazella, 432, Bairro Dos Pires, Extrema/MG, Brasil, 37640-000,Rodovia Dom Gabriel Paulino Bueno Couto, Km 80,24, Cabreuva/SP, Brasil, 13315-000"
BLMC11,Títulos e Val. Mob.,7556,"13,14%","15,49%",79,30.186.200,4.012,0,000,000,"0,00%","0,00%",
BLMG11,Outros,6808,"12,75%","13,94%",72,259.425.000,507.888,1,30464,5732,"18,82%","0,00%","Cidade de Jandira, Comarca de Barueri, Estado de São Paulo."
