index,Papel,Segmento,Cotação,FFO Yield,Dividend Yield,P/VP,Valor de Mercado,Liquidez,Qtd de imóveis,Preço do m2,Aluguel por m2,Cap Rate,Vacância Média,Endereço
298,RECR11,Títulos e Val. Mob.,8544,"14,16%","14,37%",90,2.259.170.000,3.692.160,0,000,000,"0,00%","0,00%",
175,IRDM11,Títulos e Val. Mob.,9035,"12,00%","14,29%",98,3.291.800.000,4.940.610,0,000,000,"0,00%","0,00%",
314,RZAG11,Títulos e Val. Mob.,955,"10,65%","14,22%",98,649.786.000,2.248.170,0,000,000,"0,00%","0,00%",
68,CPTS11,Títulos e Val. Mob.,7857,"0,75%","14,21%",89,2.497.180.000,6.119.760,0,000,000,"0,00%","0,00%",
383,XPCI11,Títulos e Val. Mob.,7971,"8,35%","14,12%",88,693.601.000,2.314.220,0,000,000,"0,00%","0,00%",
300,RECX11,Títulos e Val. Mob.,6352,"14,19%","14,07%",83,13.867.200,8.894,0,000,000,"0,00%","0,00%",
177,ITIP11,Títulos e Val. Mob.,7599,"21,85%","14,02%",95,56.852.000,65.743,0,000,000,"0,00%","0,00%",
230,NAVT11,Títulos e Val. Mob.,7150,"11,17%","13,98%",82,75.397.200,160.646,0,000,000,"0,00%","0,00%",
61,CCRF11,Títulos e Val. Mob.,8564,"8,86%","13,80%",90,134.618.000,2.993,0,000,000,"0,00%","0,00%",
71,CVBI11,Títulos e Val. Mob.,8988,"13,55%","13,79%",96,989.599.000,2.341.740,0,000,000,"0,00%","0,00%",
244,OUFF11,Títulos e Val. Mob.,6200,"13,39%","13,79%",84,112.489.000,175.820,0,000,000,"0,00%","0,00%",
36,BLMR11,Títulos e Val. Mob.,638,"15,19%","13,69%",85,162.956.000,359.955,0,000,000,"0,00%","0,00%",
318,SADI11,Títulos e Val. Mob.,8959,"13,24%","13,69%",91,284.915.000,658.052,0,000,000,"0,00%","0,00%",
286,RBRR11,Títulos e Val. Mob.,8685,"10,71%","13,67%",92,1.167.170.000,3.983.570,0,000,000,"0,00%","0,00%",
195,KNCR11,Títulos e Val. Mob.,9877,"8,09%","13,36%",98,5.639.480.000,10.642.100,0,000,000,"0,00%","0,00%",
20,BBFO11,Títulos e Val. Mob.,6649,"20,53%","13,25%",84,266.219.000,186.710,0,000,000,"0,00%","0,00%",
196,KNHY11,Títulos e Val. Mob.,9665,"9,47%","13,08%",99,1.787.140.000,2.426.780,0,000,000,"0,00%","0,00%",
186,JSAF11,Títulos e Val. Mob.,7810,"11,84%","12,95%",85,122.855.000,382.019,0,000,000,"0,00%","0,00%",
197,KNIP11,Títulos e Val. Mob.,9099,"5,78%","12,88%",97,7.286.310.000,7.389.110,0,000,000,"0,00%","0,00%",
228,MORE11,Títulos e Val. Mob.,6150,"12,80%","12,80%",76,142.626.000,379.815,0,000,000,"0,00%","0,00%",
313,RVBI11,Títulos e Val. Mob.,7076,"11,69%","12,59%",86,101.894.000,201.259,0,000,000,"0,00%","0,00%",
200,KNSC11,Títulos e Val. Mob.,8618,"8,21%","12,54%",98,1.144.110.000,3.914.460,0,000,000,"0,00%","0,00%",
303,RFOF11,Títulos e Val. Mob.,6630,"8,18%","12,45%",86,71.482.300,74.934,0,000,000,"0,00%","0,00%",
355,VCJR11,Títulos e Val. Mob.,8913,"11,85%","12,44%",94,1.312.350.000,1.207.130,0,000,000,"0,00%","0,00%",
147,HGIC11,Títulos e Val. Mob.,10000,"4,21%","12,20%",87,46.270.700,15.408,0,000,000,"0,00%","0,00%",
223,MGFF11,Títulos e Val. Mob.,5415,"11,43%","12,18%",78,490.091.000,755.589,0,000,000,"0,00%","0,00%",
272,RBFF11,Títulos e Val. Mob.,4888,"12,85%","12,13%",78,183.262.000,216.746,0,000,000,"0,00%","0,00%",
390,XPSF11,Títulos e Val. Mob.,719,"10,39%","12,08%",88,311.342.000,619.881,0,000,000,"0,00%","0,00%",
66,CPFF11,Títulos e Val. Mob.,6016,"16,71%","11,63%",78,153.593.000,317.643,0,000,000,"0,00%","0,00%",
333,SNFF11,Títulos e Val. Mob.,8499,"7,53%","11,58%",98,240.522.000,485.533,0,000,000,"0,00%","0,00%",
192,KISU11,Títulos e Val. Mob.,794,"11,49%","11,34%",93,350.917.000,804.458,0,000,000,"0,00%","0,00%",
142,HFOF11,Títulos e Val. Mob.,6500,"11,63%","11,25%",82,1.495.780.000,1.590.270,0,000,000,"0,00%","0,00%",
69,CRFF11,Títulos e Val. Mob.,6392,"11,24%","11,24%",78,44.107.400,7.976,0,000,000,"0,00%","0,00%",
51,BTCR11,Títulos e Val. Mob.,8800,"12,48%","11,20%",92,423.289.000,0,0,000,000,"0,00%","0,00%",
21,BBGO11,Títulos e Val. Mob.,7858,"12,17%","11,10%",80,314.726.000,223.275,0,000,000,"0,00%","0,00%",
146,HGFF11,Títulos e Val. Mob.,6881,"11,70%","11,06%",81,197.044.000,537.673,0,000,000,"0,00%","0,00%",
281,RBRF11,Títulos e Val. Mob.,6720,"10,95%","11,00%",84,919.348.000,2.158.480,0,000,000,"0,00%","0,00%",
364,VIFI11,Títulos e Val. Mob.,679,"20,10%","10,81%",79,54.925.600,81.400,0,000,000,"0,00%","0,00%",
190,KFOF11,Títulos e Val. Mob.,7781,"11,10%","10,77%",88,352.737.000,804.519,0,000,000,"0,00%","0,00%",
76,CXRI11,Títulos e Val. Mob.,6135,"11,33%","10,76%",76,96.672.900,15.590,0,000,000,"0,00%","0,00%",
26,BCIA11,Títulos e Val. Mob.,8260,"12,36%","10,71%",85,307.193.000,341.531,0,000,000,"0,00%","0,00%",
74,CXCI11,Títulos e Val. Mob.,7610,"2,74%","10,48%",84,156.593.000,97.489,0,000,000,"0,00%","0,00%",
25,BCFF11,Títulos e Val. Mob.,6325,"16,37%","10,47%",86,1.593.040.000,2.240.300,0,000,000,"0,00%","0,00%",
288,RBRX11,Títulos e Val. Mob.,8098,"9,77%","10,15%",86,152.298.000,599.244,0,000,000,"0,00%","0,00%",
168,IAGR11,Títulos e Val. Mob.,9848,"9,58%","1,36%",95,24.191.700,9.610,0,000,000,"0,00%","0,00%",
233,NCRI11,Títulos e Val. Mob.,950,"5,68%","1,15%",94,37.525.000,18.219,0,000,000,"0,00%","0,00%",
304,RINV11,Títulos e Val. Mob.,9525,"0,86%","0,94%",98,28.587.300,122.476,0,000,000,"0,00%","0,00%",
174,IFIE11,Títulos e Val. Mob.,7198,"14,26%","0,00%",95,64.817.600,0,0,000,000,"0,00%","0,00%",
242,ORPD11,Títulos e Val. Mob.,9300,"0,00%","0,00%",63,26.970.000,0,0,000,000,"0,00%","0,00%",
268,RBBV11,Títulos e Val. Mob.,10000,"6,51%","0,00%",99,125.416.000,0,0,000,000,"0,00%","0,00%",
277,RBIV11,Títulos e Val. Mob.,8370,"10,61%","0,00%",90,144.599.000,0,0,000,000,"0,00%","0,00%",
